Title,Location,Description,Price/night,Interior,Amenities,Ratings,Reviews,Features,Normalized Price/night,Normalized Reviews,Guests,Room type,Owner,Avg Feature Rating,Has Washer,Has Dryer
Private room in villa hosted by Calvin,"Mumbai, Maharashtra, India",Rustic private room surrounded by an urban forest,2100,"1 guest, 1 bedroom, 1 bed, 1 private bathroom","Garden view, Fast wifi  61 Mbps, Dedicated workspace, Paid washer  In building, Dryer, Window AC unit, Shared patio or balcony, Shared back garden  Fully fenced, Luggage drop-off allowed, Hair dryer and 46 more",4.88,179,"Cleanliness 4.9, Accuracy 4.9, Communication 4.9, Location 4.8, Check-in 4.9, Value 4.8",0.0021,0.179,1,Private,Calvin,4.87,True,True
Private room in villa hosted by Calvin,"Mumbai, Maharashtra, India",Nature lodge w/ balcony perfect for couples & work,3750,"2 guests, 1 bedroom, Lit path to the guest entrance, 1 private bathroom","Garden view, Wifi  45 Mbps, Dedicated workspace, Paid washer  In building, Dryer, Window AC unit, Shared patio or balcony, Shared back garden  Fully fenced, Luggage drop-off allowed, Childrens books and toys and 51 more",4.92,429,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.7, Check-in 4.9, Value 4.7",0.00375,0.429,2,Private,Calvin,4.8,True,True
Room in hotel hosted by Dhruv,"Mumbai, Maharashtra, India","Smart Studio Apartment with private terrace, Parle",1850,"1 guest, Studio, 2 beds, 1.5 bathrooms","Kitchen, Wifi, Dedicated workspace, Free parking on premises, Pets allowed, TV with standard cable/satellite, Lift, Free washer  In unit and 56 more",4.8,25,"Cleanliness 4.8, Accuracy 4.9, Communication 4.9, Location 4.9, Check-in 4.9, Value 4.8",0.00185,0.025,1,Single Room,Dhruv,4.87,True,False
Private room in apartment hosted by Ayan,"Mumbai, Maharashtra, India",ABC Bombay - The boutique home stay,1950,"2 guests, 1 bedroom, 1 double bed, 1 private bathroom","City skyline view, Kitchen, Wifi  41 Mbps, Dedicated workspace, Free on-street parking and 59 more",4.95,39,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.9, Check-in 5.0, Value 5.0",0.00195,0.039,2,Private,Ayan,4.98,False,False
Entire rental unit hosted by Nidhisha,"Mumbai, Maharashtra, India",Spacious studio in Bandra W!,3290,"2 guests, 1 bedroom, 1 bed, 1 bathroom","Kitchen, Wifi, TV, Air conditioning, Hair dryer and 27 more",4.8,52,"Cleanliness 4.8, Accuracy 4.8, Communication 4.9, Location 4.7, Check-in 4.9, Value 4.7",0.00329,0.052,2,Entire,Nidhisha,4.8,False,True
Entire rental unit hosted by Zainul,"Mumbai, Maharashtra, India",Cosy & Urbane Studio Apartment,2705,"2 guests, 1 bedroom, 2 beds, 1 bathroom","Public or shared beach access, Kitchen, Wifi, Dedicated workspace, Free on-street parking, HDTV, AC  split-type ductless system, Security cameras on property and 37 more",4.85,98,"Cleanliness 4.8, Accuracy 4.8, Communication 5.0, Location 4.8, Check-in 4.8, Value 4.7",0.002705,0.098,2,Entire,Zainul,4.82,False,False
Private room in rental unit hosted by Madhu,"Mumbai, Maharashtra, India",Modern bedroom 5mins from Airport,1838,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Beach access, Courtyard view, Wifi, Free on-street parking, 27"" TV with Amazon Prime Video, standard cable/satellite and 33 more",4.94,83,"Cleanliness 4.9, Accuracy 4.9, Communication 5.0, Location 4.9, Check-in 5.0, Value 4.9",0.001838,0.083,2,Private,Madhu,4.93,False,False
Private room in guest suite hosted by Ritwik,"Mumbai, Maharashtra, India",Roy 's Attic,2067,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Kitchen, Wifi, Dedicated workspace, AC  split-type ductless system, Essentials, Security cameras on property and 10 more",5.0,7,"Cleanliness 4.9, Accuracy 5.0, Communication 5.0, Location 5.0, Check-in 5.0, Value 4.9",0.002067,0.007,2,Private,Ritwik,4.97,False,False
Private room in bungalow hosted by Sunaina,"Mumbai, Maharashtra, India",Spacious Room 2 in Vintage Bungalow,1500,"2 guests, 1 bedroom, 1 bed, 1 private bathroom","Kitchen, Fast wifi  95 Mbps, Free parking on premises, Paid washer  In unit, Air conditioning, Luggage drop-off allowed, Hair dryer, LG refrigerator and 38 more",4.9,10,"Cleanliness 5.0, Accuracy 5.0, Communication 5.0, Location 4.9, Check-in 4.9, Value 4.9",0.0015,0.01,2,Private,Sunaina,4.95,True,True
Entire serviced apartment hosted by Wabi,"Mumbai, Maharashtra, India",A-Studio Apartment in Juhu - Wabi Sabi,4400,"2 guests, 1 bedroom, 1 bed, 1.5 bathrooms","Kitchen, Wifi, Dedicated workspace, Free on-street parking, TV, Lift, Washing machine, Air conditioning and 32 more",4.7,147,"Cleanliness 4.8, Accuracy 4.8, Communication 4.8, Location 4.8, Check-in 4.9, Value 4.5",0.0044,0.147,2,Entire,Wabi,4.77,False,False
